Series ID,Megalitres
3/1/1956,284
6/1/1956,213
9/1/1956,227
12/1/1956,308
3/1/1957,262
6/1/1957,228
9/1/1957,236
12/1/1957,320
3/1/1958,272
6/1/1958,233
9/1/1958,237
12/1/1958,313
3/1/1959,261
6/1/1959,227
9/1/1959,250
12/1/1959,314
3/1/1960,286
6/1/1960,227
9/1/1960,260
12/1/1960,311
3/1/1961,295
6/1/1961,233
9/1/1961,257
12/1/1961,339
3/1/1962,279
6/1/1962,250
9/1/1962,270
12/1/1962,346
3/1/1963,294
6/1/1963,255
9/1/1963,278
12/1/1963,363
3/1/1964,313
6/1/1964,273
9/1/1964,300
12/1/1964,370
3/1/1965,331
6/1/1965,288
9/1/1965,306
12/1/1965,386
3/1/1966,335
6/1/1966,288
9/1/1966,308
12/1/1966,402
3/1/1967,353
6/1/1967,316
9/1/1967,325
12/1/1967,405
3/1/1968,393
6/1/1968,319
9/1/1968,327
12/1/1968,442
3/1/1969,383
6/1/1969,332
9/1/1969,361
12/1/1969,446
3/1/1970,387
6/1/1970,357
9/1/1970,374
12/1/1970,466
3/1/1971,410
6/1/1971,370
9/1/1971,379
12/1/1971,487
3/1/1972,419
6/1/1972,378
9/1/1972,393
12/1/1972,506
3/1/1973,458
6/1/1973,387
9/1/1973,427
12/1/1973,565
3/1/1974,465
6/1/1974,445
9/1/1974,450
12/1/1974,556
3/1/1975,500
6/1/1975,452
9/1/1975,435
12/1/1975,554
3/1/1976,510
6/1/1976,433
9/1/1976,453
12/1/1976,548
3/1/1977,486
6/1/1977,453
9/1/1977,457
12/1/1977,566
3/1/1978,515
6/1/1978,464
9/1/1978,431
12/1/1978,588
3/1/1979,503
6/1/1979,443
9/1/1979,448
12/1/1979,555
3/1/1980,513
6/1/1980,427
9/1/1980,473
12/1/1980,526
3/1/1981,548
6/1/1981,440
9/1/1981,469
12/1/1981,575
3/1/1982,493
6/1/1982,433
9/1/1982,480
12/1/1982,576
3/1/1983,475
6/1/1983,405
9/1/1983,435
12/1/1983,535
3/1/1984,453
6/1/1984,430
9/1/1984,417
12/1/1984,552
3/1/1985,464
6/1/1985,417
9/1/1985,423
12/1/1985,554
3/1/1986,459
6/1/1986,428
9/1/1986,429
12/1/1986,534
3/1/1987,481
6/1/1987,416
9/1/1987,440
12/1/1987,538
3/1/1988,474
6/1/1988,440
9/1/1988,447
12/1/1988,598
3/1/1989,467
6/1/1989,439
9/1/1989,446
12/1/1989,567
3/1/1990,485
6/1/1990,441
9/1/1990,429
12/1/1990,599
3/1/1991,464
6/1/1991,424
9/1/1991,436
12/1/1991,574
3/1/1992,443
6/1/1992,410
9/1/1992,420
12/1/1992,532
3/1/1993,433
6/1/1993,421
9/1/1993,410
12/1/1993,512
3/1/1994,449
6/1/1994,381
9/1/1994,423
12/1/1994,531
3/1/1995,426
6/1/1995,408
9/1/1995,416
12/1/1995,520
3/1/1996,409
6/1/1996,398
9/1/1996,398
12/1/1996,507
3/1/1997,432
6/1/1997,398
9/1/1997,406
12/1/1997,526
3/1/1998,428
6/1/1998,397
9/1/1998,403
12/1/1998,517
3/1/1999,435
6/1/1999,383
9/1/1999,424
12/1/1999,521
3/1/2000,421
6/1/2000,402
9/1/2000,414
12/1/2000,500
3/1/2001,451
6/1/2001,380
9/1/2001,416
12/1/2001,492
3/1/2002,428
6/1/2002,408
9/1/2002,406
12/1/2002,506
3/1/2003,435
6/1/2003,380
9/1/2003,421
12/1/2003,490
3/1/2004,435
6/1/2004,390
9/1/2004,412
12/1/2004,454
3/1/2005,416
6/1/2005,403
9/1/2005,408
12/1/2005,482
3/1/2006,438
6/1/2006,386
9/1/2006,405
12/1/2006,491
3/1/2007,427
6/1/2007,383
9/1/2007,394
12/1/2007,473
3/1/2008,420
6/1/2008,390
9/1/2008,410
12/1/2008,488
3/1/2009,415
6/1/2009,398
9/1/2009,419
12/1/2009,488
3/1/2010,414
6/1/2010,374
